AOI,DATE_DOWNLOADED,FINAL_TABLE,INDICATOR_CATEGORY,METADATA,METRIC_DESCRIPTION,METRIC_NAME,METRIC_UNITS,SOURCE_NAME,SOURCE_URL,UUID,WEBTOOL_NAME,YEAR
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological ferric oxide (Fe2O3) content in surface or near surface geology within AOI","Fe2O3[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Ferric Oxide",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological calcium oxide (CaO) content in surface or near surface geology within AOI","CaO[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Calcium Oxide",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological aluminum oxide (Al2O3) content in surface or near surface geology within AOI","Al2O3[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Aluminum Oxide",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within AOI","K2O[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Potassium Oxide",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within AOI","MgO[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Magnesium Oxide",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within AOI","Na2O[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Sodium Oxide",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within AOI","P2O5[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Phosphorous Oxide",
"Cat",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological sulfur (S) content in surface or near surface geology within AOI","S[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Sulfur",
"Cat, Ws",,"GeoChemPhys1","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within AOI","SiO2[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Silicon Dioxide",
"Cat",,"GeoChemPhys2","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean % of lithological nitrogen (N) content in surface or near surface geology within AOI","N[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Nitrogen",
"Cat, Ws",,"GeoChemPhys3","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within AOI","HydrlCond[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Hydraulic Conductivity",
"Cat, Ws",,"GeoChemPhys4","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=DC063B04-19B9-4172-9D07-37B118DB935A","Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within AOI","CompStrgth[AOI]","Percent","USGS Sciencebase","https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7","DC063B04-19B9-4172-9D07-37B118DB935A","Mean Lithological Compressive Strength",
"Cat, Ws",,"Kffact","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=AA3ADCFD-0758-47FC-A069-31E95A116A3D","Mean of STATSGO Kffactor raster on agricultural land (NLCD 2006) within AOI. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall","AgKffact[AOI]","Unitless","Penn State Soil Info","http://www.soilinfo.psu.edu/index.cgi?soil_data&conus&data_cov&k&methods","AA3ADCFD-0758-47FC-A069-31E95A116A3D","Ag Soil Erodibility Kf Factor",
"Cat, Ws",,"Kffact","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=AA3ADCFD-0758-47FC-A069-31E95A116A3D","Mean of STATSGO Kffactor raster within AOI. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall","Kffact[AOI]","unitless","Penn State Soil Info","http://www.soilinfo.psu.edu/index.cgi?soil_data&conus&data_cov&k&methods","AA3ADCFD-0758-47FC-A069-31E95A116A3D","Mean Soil Erodibility KF Factor",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: alkaline intrusive volcanic rock","PctAlkIntruVol[AOI]","Percent","USGS","https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Alkaline Intrusive Volcanic Rock",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: water","PctWater[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Water",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: silicic residual material","PctSilicic[AOI]","Percent","USGS","https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Silicic Residual Material",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: saline like sediment","PctSalLake[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Saline Lake Sediment",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: non-carbonate residual material","PctNonCarbResid[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Non-Carbonate Residual Material",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: hydric, peat and muck","PctHydric[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Hydric, Peat & Muck",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: glacial till, loamy","PctGlacTilLoam[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Glacial Till, Loamy",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: glacial till, coarse-textured","PctGlacTilCrs[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Glacial Till, Coarse-Textured",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: glacial till, clayey","PctGlacTilClay[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Glacial Till, Clayey",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: glacial lake sediment, fine-textured","PctGlacLakeFine[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Glacial Outwash & Glacial Lake Sediment, Fine-Textured",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: glacial outwash and glacial lake sediment, coarse-textured","PctGlacLakeCrs[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Glacial Outwash & Glacial Lake Sediment, Coarse-Textured",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: extrusive volcanic rock","PctExtruVol[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Extrusive Volcanic Rock",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: eolian sediment, fine-textured (glacial loess)","PctEolFine[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Eolian Sediment, Fine-Textured",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: eolian sediment, coarse-textured (sand dunes)","PctEolCrs[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Eolian Sediment, Coarse-Textured",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: colluvial sediment","PctColluvSed[AOI]","Percent","USGS","http://rmgsc.cr.usgs.gov/ecosystems/usa.shtml","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Colluvial Sediment",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: coastal zone sediment, coarse-textured","PctCoastCrs[AOI]","Percent","USGS","https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Coastal Zone Sediment, Coarse-Textured",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: carbonate residual material","PctCarbResid[AOI]","Percent","USGS","https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Carbonate Residual Material",
"Cat, Ws",,"Lithology","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=70CB7CB9-A915-48F6-A3DE-BE62446A454E","% of AOI area classified as lithology type: alluvium and fine-textured coastal zone sediment","PctAlluvCoast[AOI]","Percent","USGS","https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/","70CB7CB9-A915-48F6-A3DE-BE62446A454E","Alluvium & Fine-Textured Coastal Zone Sediment",
"Cat, Ws",,"Mines","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=79e843a5-dd98-41c1-9dd6-914706b75a48","Density of mines sites within AOI (mines/square km)","MineDens[AOI]","sites/square kilometer","USGS","http://tin.er.usgs.gov/mineplant/","79e843a5-dd98-41c1-9dd6-914706b75a48","Mine Density",
"Cat, Ws",,"NABD","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=8A4F8423-0D37-4F28-938A-E5522BFEAA96","Density of georeferenced dams within AOI (dams/ square km)","NABD_Dens[AOI]","dams/square kilometers","USGS Sciencebase","https://www.sciencebase.gov/catalog/item/512cf142e4b0855fde669828","8A4F8423-0D37-4F28-938A-E5522BFEAA96","NABD Dam Density",
"Cat, Ws",,"NABD","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=8A4F8423-0D37-4F28-938A-E5522BFEAA98","Volume all reservoirs (NORM_STORA in NID) per unit area of AOI (cubic meters/square km)","NABD_NrmStor[AOI]","cubic meters/square kilometer","USGS Sciencebase","https://www.sciencebase.gov/catalog/item/512cf142e4b0855fde669828","8A4F8423-0D37-4F28-938A-E5522BFEAA96","NABD Normal Reservoir Volume",
"Cat, Ws",,"NABD","Anthropogenic","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=8A4F8423-0D37-4F28-938A-E5522BFEAA97","Volume all reservoirs (NID_STORA in NID) per unit area of AOI (cubic meters/square km)","NABD_NIDStor[AOI]","cubic meters/square kilometer","USGS Sciencebase","https://www.sciencebase.gov/catalog/item/512cf142e4b0855fde669828","8A4F8423-0D37-4F28-938A-E5522BFEAA96","NABD NID Reservoir Volume",
"Cat, Ws",,"NADP","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=49DA91A5-0D29-41E4-96BD-93987FF85981","Annual gradient map of precipitation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2008 in kg of N/ha/yr, within AOI","InorgNWetDep[Year][AOI]","kilogram/hectare/year","NADP","https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/","49DA91A5-0D29-41E4-96BD-93987FF85979","Mean Annual Precipitation-Weighted Nitrogen",2008
"Cat, Ws",,"NADP","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=49DA91A5-0D29-41E4-96BD-93987FF85979","Annual gradient map of precipitation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2008 in kg of S+N/ha/yr, within AOI","SN[Year][AOI]","kilogram/hectare/year","NADP","https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/","49DA91A5-0D29-41E4-96BD-93987FF85979","Annual Mean Sulfur and Nitrogen Wet Deposition",2008
"Cat, Ws",,"NADP","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=49DA91A5-0D29-41E4-96BD-93987FF85982","Annual gradient map of precipitation-weighted mean deposition for nitrate ion concentration wet deposition for 2008 in kg of NO3/ha/yr, within AOI","NO3[Year][AOI]","kilogram/hectare/year","NADP","https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/","49DA91A5-0D29-41E4-96BD-93987FF85979","Mean Annual Precipitation-Weighted NO3 Mean",2008
"Cat, Ws",,"NADP","Natural","https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=49DA91A5-0D29-41E4-96BD-93987FF85980","Annual gradient map of precipitation-weighted mean deposition for ammonium ion concentration wet deposition for 2008 in kg of NH4/ha/yr, within AOI","NH4[Year][AOI]","kilogram/hectare/year","NADP","https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/","49DA91A5-0D29-41E4-96BD-93987FF85979","Mean annual Precipitation-Weighted NH4 Mean",2008
"Cat, Ws",,"NLCD","Natural","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as barren land cover (NLCD class 31)","PctBl[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Bedrock and Similar Earthen Material Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
"Cat, Ws",,"NLCD","Natural","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as woody wetland land cover (NLCD class 90)","PctWdWet[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Woody Wetland Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
"Cat, Ws",,"NLCD","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as developed, open space land use (NLCD class 21)","PctUrbOp[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Developed, Open Space Land Use Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
"Cat, Ws",,"NLCD","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as developed, medium-intensity land use (NLCD class 23)","PctUrbMd[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Developed, Medium Intensity Land Use Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
"Cat, Ws",,"NLCD","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as developed, low-intensity land use (NLCD class 22)","PctUrbLo[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Developed, Low Intensity Land Use Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
"Cat, Ws",,"NLCD","Anthropogenic","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as developed, high-intensity land use (NLCD class 24)","PctUrbHi[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Developed, High Intensity Land Use Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
"Cat, Ws",,"NLCD","Natural","https://edg.epa.gov/metadata/rest/document?id=65264DD6-6227-4732-8162-3E4F194C4913","% of AOI area classified as shrub/scrub land cover (NLCD class 52)","PctShrb[Year][AOI]","Percent","NLCD","https://www.mrlc.gov/data","65264DD6-6227-4732-8162-3E4F194C4913","Shrub/Scrub Percentage","2001, 2004, 2006, 2008, 2011, 2013, 2016, 2019"
